sentence,textID,mean_age,mean_leaning,n_coder,morality,emotion,positive,negative,both,care,fairness,loyalty,authority,sanctity,harm,injustice,betrayal,subversion,degradation,general,idk,uncodable,morality_binary,emotion_binary,positive_binary,negative_binary,sent_mixed_binary,care_binary,fairness_binary,loyalty_binary,authority_binary,sanctity_binary,harm_binary,injustice_binary,betrayal_binary,subversion_binary,degradation_binary,general_binary
Grundlaget for konservativ retspolitik er hensynet til borgernes retssikkerhed.,da_ma_29098,31,5.8,5,4,1,4,0,0,2,4,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"Det er ikke virksomhederne, der skal betale.",da_pa_3388903,31,5.8,5,4,2,0,3,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Der indføres derfor en bøde på mindst ti gange det udbetalte støttebeløb for dem, der yder økonomisk bistand til personer, der deltager i ulovlige strejker.",da_ma_34977,31,5.8,5,3,2,0,3,0,0,0,0,0,0,1,2,0,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
"Det sikrer, at bankerne ikke går ned, men kan klare sig, selv om der er stormvejr i finansverdenen.",da_pa_3082795,31,5.8,5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Den indeholder en tidsfrist, der hedder  den 1. september, hvor der skulle være fremsat forslag om  biogas og biomasse.",da_pa_1083927,31,5.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vi synes, at forslaget er for vidtgående, som det ligger i sin nuværende form, men vi synes, det er positivt, at ministeren i sin tale lægger op til, at der skal ske en drøftelse mellem parterne med henblik på en eventuel ændring i næste folketingssamling.",da_pa_3082487,31.8,3.2,5,3,3,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lars Dohn forsøger at tegne et meget pessimistisk billede, men jeg nævnte ved et tidligere B-forslag, at i Aalborg bygger man massivt ungdomsboliger og almene boliger.",da_pa_3702603,31.8,3.2,5,3,4,0,1,2,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I tilfælde af atomkrig er ethvert forsvar reelt umuligt.,da_ma_8074,31.8,3.2,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ja, enhver forskelsbehandling kan jo kaldes diskrimination, og »diskrimination« har en dårlig klang, så det, at hr.",da_pa_3675494,31.8,3.2,5,2,3,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I debatten er der nok to grundsynspunkter.,da_pa_4383453,31.8,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Så er der selvfølgelig en række andre detaljer.,da_pa_2347276,31.8,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Situationen er vanskelig, den er meget dårlig, og den er  blevet ringere, end den har været, men det er da ikke et  signal til, at man skal slippe taget i konflikten, om jeg så  må sige, og prøve på ikke at gøre noget ved den.",da_pa_90192,31.8,3.2,5,4,3,0,3,1,0,1,0,0,0,3,3,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"Kan ordføreren så forklare, hvordan det kan være, at vi efter 10 år med VKO-styre og med mange år med disse fattigdomsydelser alligevel er i en situation, hvor vi har mere end 200.000 mennesker, der søger et job uden at kunne få det, og at vi, som ordføreren selv sagde, har mange tusinde mennesker, der er på disse fattigdomsydelser, og som ikke kan få noget job?",da_pa_3209673,31.8,3.2,5,1,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nielsen surfer uden om uden overhovedet at ville forholde sig til det, er: Er militære værktøjer en del af svaret på, hvordan vi får hjulpet Afghanistan til at være en fri og demokratisk stat, hvor mennesker kan leve, og hvor mennesker kan få lov at uddanne sig og udvikle sig?",da_pa_2305830,31.8,3.2,5,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Så de kommer de, godt hjulpet af Socialdemokratiet, med et fast repertoire om at ""stramme op"" og  ""tage skeen i den anden hånd"".",da_ma_9550,31.8,3.2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Og når vi så borer i det, er det jo svært.",da_pa_3309244,31.8,3.2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VS vil sætte alle kræfter ind på at forhindre indførelsen af a-kraft og afsløre a-kraft tilhængernes manipulerende reklameoffensiv.,da_ma_2942,31.8,3.2,5,3,3,1,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vi syntes simpelt hen, at når alle, der i dag er under 50 år, bliver berørt af ændringerne, er det et for kort varsel, og derfor har vi kastet vores lod i vægtskålen for at prøve at forhandle nogle bedre vilkår i stand end dem, der åbenbart er enighed om blandt de partier, der sidder omkring bordet.",da_pa_2010096,31.8,3.2,5,4,4,0,3,1,1,0,0,1,0,2,4,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"Flemming Oppfeldt, at man ikke kan bruge de  her statistikker til noget, og ministeren sagde, at det er  ude i virkeligheden, ude i det virkelige liv, tingene skal  rykke, og derfor ikke al den symbolpolitik.",da_pa_1502197,31.8,3.2,5,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vi har ikke noget imod at spare på dagpenge og kontanthjælp- det skal bare ske ved Sat folk får tilbudt uddannelse eller arbejde - ikke noget med at skære i ydelserne!,da_ma_8388,31.8,3.2,5,2,4,1,0,1,2,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Folketinget er bekymret for, at sport og politik blandes sammen ved afholdelse af internationale idrætsbegivenheder.",da_pa_3822343,31.8,3.2,5,2,4,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Derfor vil jeg spørge: Når regeringen, dengang sagen opstod i 2013, vidste, at der var en ny dramatisk udvikling i gang omkring forholdene på Thule Air Base, hvorfor indviede man så ikke offentligheden i det?",da_pa_3794975,31.8,3.2,5,2,4,0,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Derfor skal investering i egen bolig være en sund og attraktiv opsparingsform.,da_ma_29447,31.8,3.2,5,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For det må ligge underforstået, at det altså så er nogle andre ting, der skal på banen, hvis man ønsker at gøre noget ved den situation i gaderne, som jeg fornemmer at vi alle sammen er utilfredse med, selv om nogle altså tilsyneladende har besluttet sig for, at det her skal være dagen, hvor justitsministeren får et stort klap på skulderen for den hidtidige indsats.",da_pa_2490887,31.8,3.2,5,3,4,0,1,2,1,1,0,1,0,1,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Det sker jo en gang imellem, og hvis det er fornuftige ting, kigger vi på dem.",da_pa_2377046,31.8,3.2,5,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vognmændene, som holder Danmark forsynet med varer, skal ikke tro, at de kan nøjes med at bruge millioner på brændstof - nej, de skal, hvis det står til Helle & Villy, fremover betale en yderligere kørsels-afgifts-skat.",da_ma_32883,37.8,3.6,5,4,4,0,3,1,0,1,0,0,0,1,2,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Dagen i dag er en dag, som jeg har set frem til med meget stor glæde, dagen, hvor vi fik lejlighed til her i Folketinget at diskutere den forestående reform af så vel politi som retsvæsen.",da_pa_1947523,37.8,3.6,5,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derfor vil SF fastholde og videreudvikle  alternativer, for eksempel i form af ophold på efterskoler eller højskoler via Den Fri  Ungdomsuddannelse, produktionshøjskoler og daghøjskoler.",da_ma_9436,37.8,3.6,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endnu en gang takker jeg for svaret.,da_pa_2492871,37.8,3.6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Men vi skal som samfund stille større krav om, at de dokumenterer en holdbar økonomi og bærer et økonomisk ansvar, hvis det går galt.",da_ma_17093,37.8,3.6,5,3,1,2,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Det har jeg selvfølgelig en stor grad af forståelse for her op imod et kommende folketingsvalg, men jeg synes også, det er med til at skabe en helt, helt ubegrundet frygt i befolkningen, som jeg er nødt til at tage afstand fra, og derfor og på den nævnte baggrund kan Liberal Alliance ikke støtte beslutningsforslaget.",da_pa_4564416,37.8,3.6,5,5,4,1,4,0,0,0,0,0,0,1,2,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Det er der da også i mit sind.,da_pa_3259953,37.8,3.6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg håber, at det, at man nu åbner for  sklerosepatienter, betyder, at man også begynder at se  grundigt på, hvilke andre patientgrupper der også kunne have  gavn af denne her medicin, og at vi ikke fremover skal se, at  der går så mange år, før man begynder at bruge en medicin,  som tidligere blev brugt og solgt herhjemme på apotekerne,  men som desværre har været forbudt i nogle år.",da_pa_1259711,37.8,3.6,5,4,5,1,1,2,3,3,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Til sidst til ordføreren for Dansk Folkeparti: Vi synes  også, det ville være meget positivt, hvis vi i udvalget kunne  få overleveret en liste over gennemførelsesprocenten - skal  vi ikke sige det på den måde? - for hver etape på hvert  eneste område.",da_pa_65174,37.8,3.6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dansk Folkeparti understreger, at et moderne samfund forudsætter en effektiv og velfungerende offentlig sektor og en sund økonomisk balance.",da_ma_31137,37.8,3.6,5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Og det, det handler om, er faktisk retssikkerhed, men  det er ikke den retssikkerhed, som ministeren nu anfægter.",da_pa_758187,37.8,3.6,5,2,2,0,2,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Er der enighed i den borgerlige lejr, hvad angår de spørgsmål?",da_pa_3723292,37.8,3.6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De bliver her, de hotelværelser, det er ikke noget, man flytter.",da_pa_1716783,37.8,3.6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Der er ingen tvivl om, at vi skal prioritere plejen og  omsorgen for uhelbredeligt syge i den svære, sidste tid, og  Enhedslistens forslag om at etablere hospicer er i den  sammenhæng både glimrende og sympatisk.",da_pa_827950,37.8,3.6,5,4,4,3,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Det vil klart ikke være i overensstemmelse med Hamas’ ønsker om et samfund, men vil være med til at styrke civilbefolkningen.",da_pa_1908752,37.8,3.6,5,3,1,0,1,2,1,1,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Det er ikke absolut i bussen,  de pådrager sig deres dårligdomme.",da_pa_713932,37.8,3.6,5,3,4,0,3,0,0,0,0,0,0,1,0,0,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"Hvis vi skal differentiere momsen i forhold til sundhed, er det også nødvendigt at have entydige og ret præcise afgrænsninger af, hvad der er sunde, og hvad der er usunde fødevarer.",da_pa_2346836,37.8,3.6,5,3,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Vi mener faktisk, at det er uacceptabelt, at et rederi – helt klart, er det jo kommet frem nu – af økonomiske årsager kan få lov at trække en gidselaffære i langdrag.",da_pa_3533345,37.8,3.6,5,4,4,0,4,0,0,0,0,0,0,1,2,2,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
"Der er indgået skatteaftaler, som øger uligheden dramatisk, ikke mindst fordi de i høj grad betales af mennesker på overførselsindkomster.",da_pa_3549605,37.8,3.6,5,4,2,0,4,0,0,0,0,0,0,1,4,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Det er faktisk også sådan, at når danske soldater i Afghanistan tilkalder støtte fra et amerikansk fly, kan man risikere, at det amerikanske fly smider en klyngebombe.",da_pa_2668202,37.8,3.6,5,2,3,0,2,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nu er det jo ikke kun procentsatsen, der er interessant, men hvad man betaler i kroner og øre.",da_pa_2589401,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Der må lægges afgørende vægt på dansk bidrag til styrkelse af FN, til afvikling af resterende kolonivælde, til afvikling af racediskriminering og til bistand til ulandene..",da_ma_19389,40.2,4.6,5,4,2,1,1,2,1,2,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Det er svært at få deres SU-gæld inddrevet, og det gør det meningsfuldt at tage en SU-diskussion, men den har ingen relation til efterårets skatteforhandlinger.",da_pa_4355008,40.2,4.6,5,2,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Det berører selvfølgelig ikke beskæftigelsen under nogen omstændigheder.,da_pa_3246636,40.2,4.6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Godt nok er der i Tyrkiet en klar  adskillelse mellem stat og religion, men den kan meget vel  vise sig at være ustabil, idet kræfter i landet arbejder på  at svække den adskillelse, og EU vil ikke kunne rumme et  erklæret islamisk statsstyre.",da_pa_1525513,40.2,4.6,5,2,2,0,2,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Danskerne spilder 20 mio. timer på forsinket trafik.,da_ma_21578,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Det må jeg sige at jeg ikke har kunnet finde.,da_pa_4467564,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Det er ikke noget nyt fænomen.,da_ma_20555,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visse systemer er vi nødt til at have.,da_ma_14322,40.2,4.6,5,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er ikke nogen menneskeret at få et barn, ingen  tvivl om det, men der er mennesker, der meget gerne vil have  et barn.",da_pa_120655,40.2,4.6,5,4,2,0,2,2,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Det mener jeg sådan set er helt rigtigt.,da_pa_3104589,40.2,4.6,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg vil godt spørge ministeren, nu hvor vi har set  det med Irakhøringen, som ministerens regering og partierne  bag den har gjort hvad de kunne for at trække tænderne ud af,  og nu har man altså også klippet fjerene af  nordsøenoliehøringen: Er det en generel linje, at regeringen  har tænkt sig simpelt hen bare at bruge - misbruge, vil jeg  sige - sit flertal her i Folketinget til reelt at forhindre  muligheden for at gennemføre fornuftige høringer?",da_pa_1333087,40.2,4.6,5,4,3,0,4,0,0,0,0,0,0,2,4,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"Jeg vil gerne høre, hvor grænsen skal gå efter Socialdemokraternes mening.",da_pa_1842826,40.2,4.6,5,2,1,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Men jeg siger ikke, det ender med, at våbenembargoen bliver ophævet.",da_pa_1733413,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For snart 23 År siden stod Danmark med et intakt Produktionsapparat.,da_ma_25187,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er et stort problem, at der er rigtig mange indvandrere, især mænd, som allerede i uddannelsessystemet ikke kommer med på vognen og falder fra der.",da_pa_2893212,40.2,4.6,5,3,3,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Som flere jo har været inde på, er det tydeligt at mærke, at  folketingsvalget nærmer sig.",da_pa_636370,40.2,4.6,5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vi er i hvert fald fra socialdemokratisk side glade for, at regeringen har fulgt op på det arbejde, vi gjorde, mens vi havde regeringsmagten, med at få ændret det her.",da_pa_3971144,40.2,4.6,5,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ingen ved om højrefløjen igen vil lefle for industrien og ignorere de mange store risici, hvis den kommer til magten efter et valg.",da_ma_10680,40.2,4.6,5,2,2,0,2,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Miljøpolitikken præges stærkt af, hvilke interessegrupper der råber højst, og hvad der for tiden anses for at være mest politisk korrekt.",da_ma_27903,40.2,4.6,5,2,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ligesom kommunerne skal have friere rammer til at støtte lokale, sociale og grønne initiativer.",da_ma_1217,40.2,4.6,5,3,1,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Det er bare sådan en konstatering,  måske en nuanceforskel, måske en fortalelse.",da_pa_1548667,40.2,4.6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Der er indgået mange gode aftaler gennem årene og også bedre aftaler end den her, skulle jeg hilse at sige, tilbage i 1980’erne, 1990’erne og andre gange, hvor vi har indgået aftaler – også med Det Radikale Venstre.",da_pa_2129696,40.2,4.6,5,3,4,1,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Vil statsministeren genforhandle det forhold til EU, eller  vil statsministeren træde tilbage?",da_pa_1289731,40.2,4.6,5,2,1,0,0,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er nogle af de kritikpunkter, der er nævnt i høringssvarene.",da_pa_4230716,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denne er blevet til på basis af en demokratisk fremgangsmåde.,da_ma_6846,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er jo et synspunkt, som på ingen som helst måde hænger logisk sammen.",da_pa_1784142,40.2,4.6,5,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For at fremme produktionen af de rigtige boliger i det rigtige antal og til den rigtige pris skal lovgivningsmagten sikre genindførelsen af den fri konkurrence i boligbyggeriet og i boligudlejningen.,da_ma_24409,40.2,4.6,5,3,1,1,0,2,3,2,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Danmark fører en aktiv udenrigspolitik, og det skal vi blive ved med.",da_ma_15038,40.2,4.6,5,2,3,1,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lennart Damsbo-Andersen kunne præcisere, hvor hr.",da_pa_2614009,40.2,4.6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knap 2 mio. danske familier har en bil og er afhængige af bilen.,da_ma_16820,40.2,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"En anden grund, som adskillige høringspartnere gør opmærksom på, er, at en gennemførelse af forslaget kan have negative konsekvenser for de berørte familiers integrationsproces.",da_pa_4462492,40.2,4.6,5,4,3,0,4,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Vi gik i gang, og der blev for alvor ryddet op, men opgaven er langt fra løst.",da_ma_32688,40.2,4.6,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Dansk Folkepartis ordfører på området, hr.",da_pa_725884,40.2,4.6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeg vil så også sige til hr.,da_pa_2771742,40.2,4.6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Så er det rigtigt nok, at Folketinget har en ventil, der  hedder Det Udenrigspolitiske Nævn, som regeringen ifølge  grundlovens § 19, stk. 3, skal rådføre sig med i forbindelse  med større beslutninger og også har gjort det mange gange i  forbindelse med beslutninger om Thuleradaren.",da_pa_1256348,40.2,4.6,5,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg går ikke ud fra, at det var det, der lå i det, fru Else  Theill Sørensen sagde.",da_pa_1156075,40.2,4.6,5,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venstre ser gerne en harmonisering inden for  selskabsbeskatningen, netop for at sikre fair konkurrence og  for at dæmme op for decideret skattekonkurrence.",da_pa_507065,40.2,4.6,5,3,3,2,0,1,1,2,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Om under 10 år vil priserne være så lave, at havvindmøller ikke længere skal modtage støttekroner.",da_ma_16873,40.2,4.6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barfoed, at vi har et hovedprincip, der hedder fokusering på de fattigste lande, men så kommer der – ud fra aktuelle behov og danske prioriteringer udsprunget af vores egne interesser – nogle helt andre hensyn ind over, som betyder, at vi så laver andre tværgående indsatser, som ikke udspringer af vores ønske om at prioritere og fokusere på den fattigdomsorienterede indsats.",da_pa_1590579,40.2,4.6,5,4,3,1,2,1,2,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"De 2 millioner, som har den laveste  indtægt, får ingenting ud af det, bortset fra at de får  fjernet fradragsretten for faglige kontingenter.",da_pa_623758,37.6,4.8,5,4,1,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Jeg har bare lige nogle få bemærkninger i forhold til netop præmissen, som den radikale ordfører bringer frem, og der er jeg sådan set enig i, at det selvfølgelig er en bred indsats med flere virkemidler.",da_pa_3039013,37.6,4.8,5,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Men jeg vil gerne  vedstå, som flere har spurgt mig om, og som jeg også sagde i  mit første indlæg, at naturligvis respekterer regeringen  fuldt og helt Det Udenrigspolitiske Nævns beretning; det skal  der ikke være skygge af tvivl om.",da_pa_457544,37.6,4.8,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vi har  fået belyst de forskellige temaer.,da_pa_1479319,37.6,4.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Der skal ikke en ny brochure med ud med ikkegodkendte virksomheder.,da_pa_2560112,37.6,4.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Planen skal bl.a. omfatte fordelings- og investeringspolitik, skatte- og socialpolitik, priser, arbejdstid og lønforhold.",da_ma_8028,37.6,4.8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg kan forstå, at vi allerede har frist i morgen med hensyn til at stille spørgsmål, og det gør jo det hele lidt anstrengt, med hensyn til hvad vi kan nå at spørge ind til.",da_pa_3428406,37.6,4.8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
