,text,label,tweets
327,er underlødig sensations journalistik som minder om ekstra bladet sådan bør statskroner i bruges i øvrigt har vi ikke nok i dr,negative,underlødig sensations journalistik minder ekstra bladet statskroner bruges dr
328,og måske skal da afholde sig fra hurtige regnestykker men i stedet tage højde for at alle der nærmer sig pensionsalderen ikke er i beskæftigelse og at alle ikke arbejder fuldtid så går regnestykker ikke lige så hurtigt til gengæld er de ikke forkerte arbejde dkpol link,negative,afholde hurtige regnestykker stedet højde nærmer pensionsalderen beskæftigelse arbejder fuldtid går regnestykker hurtigt gengæld forkerte arbejde dkpol
329,frankrig løfter pegefinger mod briter inden topmøde de skal opføre sig pænt hvis vi forlænger eudk brexit link,neutral,frankrig løfter pegefinger briter inden topmøde opføre pænt forlænger eudk brexit
330,den fejl overlader jeg trygt til fejlens rette ejermænd carsten sæbye og frimann,neutral,fejl overlader trygt fejlens rette ejermænd carsten sæbye frimann
331,et kig i politiets døgnrapport to mænd anholdt på fersk gerning og lastbil fra ouh fundet delvist udbrændt link fyensdk,neutral,kig politiets døgnrapport mænd anholdt fersk gerning lastbil ouh fundet delvist udbrændt fyensdk
332,so happy for you,positive,so happy you
333,medierne promoverer ham ikke men det er klart at de rapporterer når nørrebro brænder hvad skulle de ellers gøre det er jo ikke dem der kan tie ham ihjel,negative,medierne promoverer klart rapporterer nørrebro brænder tie ihjel
334,lidt skørt hvis agf klarer sig videre imod aab og søe klarer sig videre imod randers at agf og søe så skal mødes for og gang i sæsonen de kunne have mødt hinanden i pokalen også for at nå de maksimum der kan lade sig gøre men vil stadig være sl rekord sldk,neutral,skørt agf klarer videre aab søe klarer videre randers agf søe mødes gang sæsonen mødt hinanden pokalen nå maksimum lade sl rekord sldk
335,afprøv intervalgang med jerry ritz link,neutral,afprøv intervalgang jerry ritz
336,spændende hvor meget onside aka brøndby tv jagter en reaktion fra dommeren idag når det nu gik brøndbys vej det er vel allerede glemt og så er de igang med nedtællingen til finalen brøndbytv bifaab sydbankpokalen,neutral,spændende onside aka brøndby tv jagter reaktion dommeren idag gik brøndbys vej vel glemt igang nedtællingen finalen brøndbytv bifaab sydbankpokalen
337,live krydstogsskib i havn mange skal overnatte på skibet link b t tilsyneladende eneste danske medie på kajen i molde følg udviklingen i vores live blog dkmedier,neutral,live krydstogsskib havn overnatte skibet b t tilsyneladende danske medie kajen molde følg udviklingen live blog dkmedier
338,flabet tæmning bag støttebenet af andreas skov olsen inden han så sparker bolden i kassen til fcndk sldk vbfcn fcn,positive,flabet tæmning støttebenet andreas skov olsen inden sparker bolden kassen fcndk sldk vbfcn fcn
339,user user user user anders thomsen gav det polske publikum fuld valuta for pengene i årets sec kvalrunde i poznan een efter een fightede han sig helt op til det afgørende race off og vandt det er videre til sec ch copyright sportxpress link,positive,anders thomsen gav polske publikum fuld valuta pengene årets sec kvalrunde poznan een een fightede afgørende race off vandt videre sec ch copyright sportxpress
340,det udløser en ekstraordinær stor regnbyge og så er der ikke længere nogen der taler om klimaforandringer,negative,udløser ekstraordinær regnbyge taler klimaforandringer
341,det er noteret jeg siger ikke dtd virker for alle partier men for sosser gør det tølløse var mit stærkeste område i vipperød var det i og der har jeg næsten ingen forbindelser til,positive,noteret siger dtd virker partier sosser tølløse stærkeste område vipperød forbindelser
342,brøndbynyt de sidste timer har vi fundet nyheder til dig find dem på link sldk brøndby,neutral,brøndbynyt sidste timer fundet nyheder find sldk brøndby
343,hvad ville i gøre hvis de frivillige gik hjem i morgen lynge jacobsen inspirerer hele idrætten ngo er og politikere på idrætstopmøde til hvordan flytter folk fra bænken til banen når det gælder beskæftigelse integration endelafnogetstørre link,neutral,frivillige gik hjem morgen lynge jacobsen inspirerer hele idrætten ngo politikere idrætstopmøde flytter folk bænken banen gælder beskæftigelse integration endelafnogetstørre
344,bavarian indleder fase a forsøg med hpv vaccine link,neutral,bavarian indleder fase a forsøg hpv vaccine
345,det er ikke sådan at vælgerne enten hader eller elsker europa påpeger redaktør på die zeit dkpol europaparlament link,neutral,vælgerne hader elsker europa påpeger redaktør die zeit dkpol europaparlament
346,ja det tror jeg er en klog måde at gå til det,positive,tror klog måde gå
347,der vil jeg anbefale at du læser op på hvad de facto betyder det svarer til at lovgive om at svin skal slagtes på grønland og derefter undre sig over at slagterier lukker,negative,anbefale læser facto betyder svarer lovgive svin slagtes grønland undre slagterier lukker
348,df frygter at s skifter side i udlændingedebatten det kan jeg også frygte men det kommer helt an på hvilke områder der skiftes paradigmeskiftet er sygt lige nu får radikale det uanset hvem der bli r statsminister link dkpol dkmedier,negative,df frygter s skifter side udlændingedebatten frygte an områder skiftes paradigmeskiftet sygt radikale uanset bli r statsminister dkpol dkmedier
349,rt i esbjerg glemmer vi ikke ep valget med og dkpol link,neutral,esbjerg glemmer ep valget dkpol
350,du har fuldstændig ret det er en meget stor del af det vi skal virkelig helhedstænke og rundt i alle hjørner lidt reform her og der gør det ikke og mennesket skal i centrum,negative,fuldstændig ret del virkelig helhedstænke rundt hjørner reform mennesket centrum
351,positiv stilstand hos vækstivrig hirtshals koncern link link,neutral,positiv stilstand vækstivrig hirtshals koncern
352,hvad sker der med i dag kan ikke komme ind,neutral,sker dag
353,er det t en strikkeopskrift så er det næsten det dobbelt af cm til det ca passer hilsen humanisten,neutral,t strikkeopskrift dobbelt cm ca passer hilsen humanisten
354,at skulle vælge mellem lars løkke og mette frederiksen svarer til at skulle vælge mellem en far og en mor det er enige procent af tiden dkpol,negative,vælge lars løkke mette frederiksen svarer vælge mor enige procent tiden dkpol
355,med mindre det er en aprilsnar planlægger algeriets præsident bouteflika angiveligt at trække sig indenfor en måned og bøjer sig dermed for de mange hundredetusinder der har protesteret mod ham i gaderne i landets store byer the daily star link,neutral,aprilsnar planlægger algeriets præsident bouteflika angiveligt trække indenfor måned bøjer hundredetusinder protesteret gaderne landets byer the daily star
356,men igen hvorfor er det et krav at udviklere har fuld adgang til databasen og hvordan kan man forlade sig på troskabseder se bare hvordan det gik med balder og misteltenen link,negative,krav udviklere fuld adgang databasen forlade troskabseder gik balder misteltenen
357,fda godkender ny doseringsmulighed for genmabs darzalex link link,neutral,fda godkender doseringsmulighed genmabs darzalex
358,det er der ihvertfald ikke belæg for,negative,ihvertfald belæg
359,så må de fortælle hvilke fordele de mener der er for dk ved at være med i eu og spar os for fred i europa det er natos fortjeneste og handels aftaler kan dk lave bedre og hurtigere end gennem eu bureaukratiet jeg ser kun ulemper og det bliver værre link,negative,fortælle fordele mener dk eu spar fred europa natos fortjeneste handels aftaler dk bedre hurtigere eu bureaukratiet ulemper værre
360,i fik det tyske nazistparti knap af stemmerne i var stemte tyskerne for sidste gang i mere end et årti jf en meningsmåling vil af danskerne stemme på et nazistisk parti ved valget hvor er danmark om et årti tænk over det når lysene tændes i aften dkpol,neutral,tyske nazistparti knap stemmerne stemte tyskerne sidste gang årti jf meningsmåling danskerne stemme nazistisk parti valget danmark årti tænk lysene tændes aften dkpol
361,mere brug af gmo i landbruget kan ikke løse alle vores problemer og vi er bekymrede for at flere fødevarer ikke vil leve op til den sikkerhedsgodkendelse vi ønsker siger mads flarup christensen fra greenpeace i dr deadline dkpol link,negative,brug gmo landbruget løse problemer bekymrede fødevarer leve sikkerhedsgodkendelse ønsker siger mads flarup christensen greenpeace dr deadline dkpol
362,det er nyt for mig hvis patrick har trænet mma tidligere udover de seneste uger men selv hvis han har rodet lidt med det i sine unge dage så har han jo stadig ikke den vigtige kamperfaring og et længere udviklingsforløb at trække på så det bliver op ad bakke uanset hvad,negative,patrick trænet mma seneste uger rodet unge dage vigtige kamperfaring udviklingsforløb trække ad bakke uanset
363,jo det er i argentina i buenos aires det er det her link,neutral,argentina buenos aires
364,godt at høre det ikke udgår helt blev sgu da lige bange d,positive,høre udgår sgu bange d
365,liberalisme til salg dkpol ligevilkårforalle nikolaj saadat df høster politiske sejre på liberal magtesløshed link,negative,liberalisme salg dkpol ligevilkårforalle nikolaj saadat df høster politiske sejre liberal magtesløshed
366,nej nørrebro gav paludan de sidste vælgererklæringer efter de smadrede byen igen igen igen dkpol dkmedier,negative,nørrebro gav paludan sidste vælgererklæringer smadrede byen dkpol dkmedier
367,afskaf minister pensionen de kan selv betale som vi andre link dkpol link,negative,afskaf minister pensionen betale dkpol
368,det er ikke kun danmark der er ofre for vindmøllerne vi spilder tiden og pengene og udskyder rigtige holdbare grønne løsninger link,negative,danmark ofre vindmøllerne spilder tiden pengene udskyder rigtige holdbare grønne løsninger
369,det er ikke rød blå der gør forskellen men at endnu ikke har haft så godt fat om magten at de er blevet tilbudt en konkurrencedygtig pris for deres principper alle de gamle partier har forlængst solgt deres sjæl og principper til højestbydende link,negative,rød blå forskellen haft fat magten blevet tilbudt konkurrencedygtig pris principper gamle partier forlængst solgt sjæl principper højestbydende
370,jeg kunne rigtig godt tænke mig at høre holdninger til denne artikel kom med jeres bud dkpol link,neutral,rigtig tænke høre holdninger artikel bud dkpol
371,lang forlængelse valg eller folkeafstemning,neutral,lang forlængelse valg folkeafstemning
372,danske børn er for dårlige til sprog men det kan en stor pædagogisk succeshistorie fra horsens måske lave om på link,positive,danske børn dårlige sprog pædagogisk succeshistorie horsens
373,lidt et longshot nogen der ved hvornår der åbner billetsalg til guldtuben eller hvornår det har været åbnet tidligere år twitterhjerne,neutral,longshot åbner billetsalg guldtuben åbnet år twitterhjerne
374,de pct rigeste danskere ejer næsten halvdelen af den samlede formue en konsekvens af budgetlov som har fjernet milliarder fra velfærd i statslige uddannelsesinstitutioner og brugt dem på skattelettelser dkpol link,negative,pct rigeste danskere ejer halvdelen samlede formue konsekvens budgetlov fjernet milliarder velfærd statslige uddannelsesinstitutioner brugt skattelettelser dkpol
375,der er i dag fodbold kampe events mere der vises direkte på tv dksport dkbold sldk pldk laliga seriea cldk eldk link link,neutral,dag fodbold kampe events vises direkte tv dksport dkbold sldk pldk laliga seriea cldk eldk
376,det er det garanteret d hold øje med link så kan du se de kommende twaalbar twedagsbar og twaarhusbar,positive,garanteret d hold øje kommende twaalbar twedagsbar twaarhusbar
377,må indrømme at jeg hellere ville have haft zac taylor og være gået all in på en quarterback i dragten men jeg kan leve med det her alternativ største frygt er om kubiak ikke har udviklet sit angreb siden erne,neutral,indrømme hellere haft zac taylor gået all in quarterback dragten leve alternativ største frygt kubiak udviklet angreb erne
378,sprittens forvandling se hvilke arkitektfirmaer der er med i opløbet link link,positive,sprittens forvandling arkitektfirmaer opløbet
379,rt ebbe sand holder øje med nørgaard han vil stadig klæde brøndby sldk transferdk link,positive,ebbe sand holder øje nørgaard klæde brøndby sldk transferdk
380,høj elite og bagspiller mikkel sjøberg stopper samarbejdet efter denne sæson link link,neutral,høj elite bagspiller mikkel sjøberg stopper samarbejdet sæson
381,frederiksberg kommune vil løfte normeringerne til mininmumsniveau vigtigt skridt men vi skal have alle kommuner med minimumsnormeringer skal sikre et minimum af ressourcer som kommuner skal bygge ovenpå siger i godtbørneliv dkpol hvorerderenvoksen link,neutral,frederiksberg kommune løfte normeringerne mininmumsniveau vigtigt skridt kommuner minimumsnormeringer sikre minimum ressourcer kommuner bygge ovenpå siger godtbørneliv dkpol hvorerderenvoksen
382,der gik under minutter efter d t tweet så fik jeg denne mail det er første gang nogensinde at jeg er blevet kontaktet om et konkret dog fuldstændig irrelevant job via linkedin spooky link,neutral,gik minutter d t tweet mail første gang blevet kontaktet konkret fuldstændig irrelevant job linkedin spooky
383,jeg tror du har misforstået noget de fleste der kender mig ved at min hustru er ob fan og som regel skyder skylden på dommeren modstanderen eller kommentatoren men det lader til at alt skal skæres ud i pap,negative,tror misforstået kender hustru ob fan regel skyder skylden dommeren modstanderen kommentatoren lader skæres pap
384,forskerrapport dokumenterer at fysisk krævende arbejde koster færre år i job mere tid med langtidssygefravær amp mere ledighed sammenlignet med andre lønmodtagere men det havde regeringen v user ikke hast med at offentliggøre dkpol arbejde link,negative,forskerrapport dokumenterer fysisk krævende arbejde koster færre år job tid langtidssygefravær amp ledighed sammenlignet lønmodtagere regeringen v hast offentliggøre dkpol arbejde
385,gravesens stop alt for tidligt,negative,gravesens stop tidligt
386,vi vil hellere have noget med diabetes,neutral,hellere diabetes
387,radio syv vil ikke søge om forlænget sendetilladelse det er deres valg og hvis de ikke havde klaget var det kun af de redaktionelle medarbejdere der skulle arbejde fra provinsen klynk klynk fra vrøvle hoveder hvad med lidt selv indsigt dkmedier dkpol dkbiz,negative,radio søge forlænget sendetilladelse valg klaget redaktionelle medarbejdere arbejde provinsen klynk klynk vrøvle hoveder indsigt dkmedier dkpol dkbiz
388,normalt og normalt intet normalt i en forhandling om eu udmeldelse mellem borgerlige og arbejderpartiet once in a generation selv i dk at det så er en tvungen opgave fordi det parlimentariske flertal ikke er på plads av den havde ikke gået under fogh,negative,normalt normalt normalt forhandling eu udmeldelse borgerlige arbejderpartiet once in a generation dk tvungen opgave parlimentariske flertal plads av gået fogh
389,nej alle er ikke enige om at han er nazist og det er folk som dig der kalder folk det som skaber had og splid,negative,enige nazist folk kalder folk skaber had splid
390,i politik og andre sammenhænge betyder rød farve stop og fare,negative,politik sammenhænge betyder rød farve stop fare
391,værft klager efter dyr udbudsrunde vi sidder med en træls smag i munden dkpol udbud miljøstyrelsen link,negative,værft klager dyr udbudsrunde sidder træls smag munden dkpol udbud miljøstyrelsen
392,fake news i mainstream medier er forbudt mainstream medier må faktisk ikke lyve der er desværre alt for mange der synes det er ok at fake news dr og fake news tv er propagandakanaler for magthaverne og at de laver link,negative,fake news mainstream medier forbudt mainstream medier faktisk lyve desværre ok fake news dr fake news tv propagandakanaler magthaverne laver
393,landsret har for anden gang på en måned givet medhold i p sag om bagatelagtig tastefejl link kbhpol dkmedier dkforbrug,neutral,landsret gang måned givet medhold p sag bagatelagtig tastefejl kbhpol dkmedier dkforbrug
394,jeg vil gøre en gratis tjeneste at viderebringe denne lille og letlæselige anvisning sværere er det faktisk ikke tak link,positive,gratis tjeneste viderebringe letlæselige anvisning sværere faktisk tak
395,hvis det er den rigtige jba skal han starte med at kigge indad og erkende at det var en kæmpe fejl ikke at fortærke bif forsvaret i vinterpausen et bif forsvar der nu har dummet sig i samtlige kampe,negative,rigtige jba starte kigge indad erkende kæmpe fejl fortærke bif forsvaret vinterpausen bif forsvar dummet samtlige kampe
396,lad robotterne tage sliddet arbejdsmiljø dkpol link,neutral,robotterne sliddet arbejdsmiljø dkpol
397,skal du ikke bare tage en kop the og gå en lille tur i haven,neutral,kop the gå tur haven
398,hver borger i gentofte tjener cirka dobbelt så meget som den gennemsnitlige danske lønmodtagers løn det er temmelig vildt i andre nyheder de rigeste danskere der bor i de dyreste huse med de største friværdistigninger sparer mest op dkpol quellesurprise link,negative,borger gentofte tjener cirka dobbelt gennemsnitlige danske lønmodtagers løn vildt nyheder rigeste danskere bor dyreste huse største friværdistigninger sparer dkpol quellesurprise
399,helt vildt sjovt pldk link,positive,vildt sjovt pldk
400,ny i bymidten en bid af asien i vissingsgade vaf link,neutral,bymidten bid asien vissingsgade vaf
401,one is a mvp,positive,one is a mvp
402,så han kan stå og bræge politibeskyttet foran et privat hjem tilhørende en kvinde han chikanerer samme hjem hvor han sidste år brægede ting han nu er dømt for racisme for link,negative,stå bræge politibeskyttet privat hjem tilhørende kvinde chikanerer hjem sidste år brægede ting dømt racisme
403,jeg havde ikke regnet med at vi ville slutte i top men nu har samtlige muligheder været der så det er en kæmpe skuffelse at vi i det mindste ikke har en mulighed for det på sidste spilledag pilen har stort set kun peget den forkerte vej i premier league siden december,negative,regnet slutte top samtlige muligheder kæmpe skuffelse mindste mulighed sidste spilledag pilen stort set peget forkerte vej premier league december
404,godt gået,positive,gået
405,utilstrækkeligt forslag om redning af østersøtorsk link dkgreen dkpol cfpreality endoverfishing link,negative,utilstrækkeligt forslag redning østersøtorsk dkgreen dkpol cfpreality endoverfishing
406,mere fodboldguld nu fra blackburn hvor klubbens største fan sørgede for at blackburn rovers vandt det engelske mesterskab i se statuen og få historien her link,positive,fodboldguld blackburn klubbens største fan sørgede blackburn rovers vandt engelske mesterskab statuen historien
407,de er tosset med det kommer nok af at de ikke spiser kød de kan jo gøre som de vil men de skal ikke blande sig i hvordan andre lever,negative,tosset spiser kød blande lever
408,fundamentet for dansk eliteidræts succes ligger i elitemiljøerne derfor er det rigtig set at investere i at koble atleter trænere og forskere tættere sammen lyder det fra sportschefer vejentilverdensklasse idrætspol dkpol link,neutral,fundamentet dansk eliteidræts succes ligger elitemiljøerne rigtig set investere koble atleter trænere forskere tættere lyder sportschefer vejentilverdensklasse idrætspol dkpol
409,demonstrationer er en del af demokratiet men hvori består det vise i at brænde uskyldige menneskers biler af fpol eupol fmedia dkmedier,negative,demonstrationer del demokratiet består vise brænde uskyldige menneskers biler fpol eupol fmedia dkmedier
410,der er i dag fodbold kampe events mere der vises direkte på tv kun på kun på dksport dkbold sldk pldk laliga seriea cldk eldk link link,neutral,dag fodbold kampe events vises direkte tv dksport dkbold sldk pldk laliga seriea cldk eldk
411,nej det går ikke for selvforståelsen vil det være en katastrofe ikke at have hade objekter hvad skulle inger støjberg og mads fuglede så lave,negative,går selvforståelsen katastrofe hade objekter inger støjberg mads fuglede
412,min første tanke var at man da ikke bare melder børn ud af grundskolen tager små børn ud af daginstitutionen og tvinger en far til at sige sit job op uden at nogen instans tager hånd om dem efterfølgende i rets og velfærdsstaten danmark men det gjorde man paradigmeskift link,negative,første tanke melder børn grundskolen tager små børn daginstitutionen tvinger job instans tager hånd efterfølgende rets velfærdsstaten danmark paradigmeskift
413,idk mand det virker som om politiet er enige med mig siden de har banlyst ham fra både nørrebro og nordvest med et statement om at hans person udgør en fare for den offentlige fred,positive,idk virker politiet enige banlyst både nørrebro nordvest statement person udgør fare offentlige fred
414,mandag eftermiddag holdt f c københavn pressemøde om at william kvist nu er indstillet til en bestyrelsespost i parken sport amp entertainment hør hele pressemødet med william ståle og bo rygaard i denne podcast fcklive link link,neutral,mandag eftermiddag holdt f c københavn pressemøde william kvist indstillet bestyrelsespost parken sport amp entertainment hør hele pressemødet william ståle bo rygaard podcast fcklive
415,demokrati siger blot jeg ikke forstår du sidder hvor du gør,negative,demokrati siger blot forstår sidder
416,derfor har jeg svært ved at se dette som argument mod prisstigninger for mig at se ligner det nærmere et tegn på at der er brug for en indsats på flere områder dyrere smøger og meget mere udbredelse af viden om alternativerne og i særdeleshed sikkerheden ved alternativer,positive,svært argument prisstigninger ligner nærmere tegn brug indsats områder dyrere smøger udbredelse viden alternativerne særdeleshed sikkerheden alternativer
417,dkpol fv næppe,neutral,dkpol fv næppe
418,tror du selv på skat kan finde ud af at kontrollere det,negative,tror skat finde kontrollere
419,gf forsikring a s prisregn sønderjyder hyldet for deres overskud link,positive,gf forsikring a s prisregn sønderjyder hyldet overskud
420,aarhus universitet arts nu kan forskere lave tekstlæsning på epo link,neutral,aarhus universitet arts forskere tekstlæsning epo
421,hvis du ikke ved hvem rasmus paludan er så se det her link,neutral,rasmus paludan
422,rt nordisk venstrefløj i fælles grønt udspil link,positive,nordisk venstrefløj fælles grønt udspil
423,spred endelig det gode budskab der kan nu indstilles til demensprisen så peg på en kollega eller arbejdsplads som du synes bør hyldes for at gør en særlig flot indsats i sit arbejde med mennesker med demens link værdighed sundhedforalle sundpol link,positive,spred endelig gode budskab indstilles demensprisen peg kollega arbejdsplads hyldes særlig flot indsats arbejde mennesker demens værdighed sundhedforalle sundpol
424,bedste smørrebrødsrestaurant i kbh twitterhjerne viser britisk gæst rundt,neutral,bedste smørrebrødsrestaurant kbh twitterhjerne viser britisk gæst rundt
425,glad fcm er provokeret til scoring i yl triumf link fcm uefayouthleagueslutspil,positive,glad fcm provokeret scoring yl triumf fcm uefayouthleagueslutspil
426,hej jeg hedder nanna jeg har haft depression og angst i rigtigt mange år men kom først i medicinsk behandling her i efteråret det har været et vidunderligt skridt mod en normal hverdag og jeg er glad for at jeg fik samlet modet til at søge hjælp brydtabuet,positive,hedder nanna haft depression angst rigtigt år medicinsk behandling efteråret vidunderligt skridt normal hverdag glad samlet modet søge hjælp brydtabuet
427,man behøver ikke at være df for at synes at dr er ensidigt og at er underlødigt og ekstrablad s journalistik,negative,behøver df dr ensidigt underlødigt ekstrablad s journalistik
428,,positive,
429,hvorfor egentlig,negative,egentlig
430,rt meget trist,negative,trist
431,haha du samler vel på champions league titler jeg samler i øvrigt hverken på liverpool eller city mesterskaber,positive,haha samler vel champions league titler samler hverken liverpool city mesterskaber
432,mathvinderen fra mandagens superligakamp havde europæisk fodbold som et stort mål da han vendte hjem til dansk fodbold sldk link,positive,mathvinderen mandagens superligakamp europæisk fodbold stort mål vendte hjem dansk fodbold sldk
433,tellerup er da forlængst blevet et kæmpe brand,negative,tellerup forlængst blevet kæmpe brand
434,tillykke link hvor du får tingene at vide før du selv er klar over det,negative,tillykke tingene vide klar
435,jeg husker tydeligt pernille vermund fra ft valgkampen her i nordsjælland i hun snakkede rigtig meget om skattetryk og grundskyld som k kandidat men ikke et ord om opgør med konventioner grænsekontrol og problemerne med indvandring dkpol link,negative,husker tydeligt pernille vermund ft valgkampen nordsjælland snakkede rigtig skattetryk grundskyld k kandidat ord opgør konventioner grænsekontrol problemerne indvandring dkpol
436,forståelig vrede iøvrigt,neutral,forståelig vrede iøvrigt
437,er det deres mål i denne sæson hvor der skulle være dømt offside link,negative,mål sæson dømt offside
438,hobro må undvære forsvarsklippe i første skæbnekamp link,neutral,hobro undvære forsvarsklippe første skæbnekamp
439,jeg tror stadig ikke at de rykker ned men situationen er meget alvorlig fire nederlag i træk nu defensivt er de en rodebutik og derfor tror jeg at schalke fyrer tedesco de kan tænkes at gå efter kickstart effekten,negative,tror rykker situationen alvorlig nederlag træk defensivt rodebutik tror schalke fyrer tedesco tænkes gå kickstart effekten
440,søndag kl går det løs ude mod hobro ik på ds arena nicolai poulsen er ude med karantæne mens mads aaquist er skadet kevin conboy døjer lidt med en skade og starter på bænken på bænken sidder også u spilleren tobias klysner der kan få debut randersfc sldk link,neutral,søndag kl går løs ude hobro ik ds arena nicolai poulsen ude karantæne mads aaquist skadet kevin conboy døjer skade starter bænken bænken sidder u spilleren tobias klysner debut randersfc sldk
441,rt things i won t be this summer bored pregnant broke mad or stressed,positive,things won t be this summer bored pregnant broke mad or stressed
442,er der det er det en mavefornemmelse synes der er nogle antifa typer som hader parlamentarisme lige så meget som du hader el,negative,mavefornemmelse antifa typer hader parlamentarisme hader el
443,man har i årtier benyttet enhver lejlighed til at sætte brand i gaderne på nørrebro først venstreorienterede autonome og siden indvandrerne fra mellemøsten så det er en kultur der har eksisteret længe før nogen kendte til rasmus paludan han er blot en dårlig undskyldning,negative,årtier benyttet lejlighed sætte brand gaderne nørrebro venstreorienterede autonome indvandrerne mellemøsten kultur eksisteret længe kendte rasmus paludan blot dårlig undskyldning
444,det er da super dine øjne er da vigtigere and valgkampen og bliver du ikke brillefri går vel endda,positive,super øjne vigtigere and valgkampen brillefri går vel endda
445,helt ærlig det er lavet om til lægelig vurdering ifht nuværende regler det giver meget større retssikkerhed anerkend dog det og fortæl så om det yderligere i vil ordet tiggergang er uværdigt og lugtet af valgkamp,negative,ærlig lægelig vurdering ifht nuværende regler giver større retssikkerhed anerkend fortæl yderligere ordet tiggergang uværdigt lugtet valgkamp
446,haha danmark,neutral,haha danmark
447,det er vel meget normalt er medies techsider skriver om et populært techprodukt en mobiltelefon er også et overvågningsprodukt skal den heller ikke dækkes kun dumb phones jeg har iøvrigt også set skrive en masse kritisk om data,neutral,vel normalt medies techsider skriver populært techprodukt mobiltelefon overvågningsprodukt dækkes dumb phones iøvrigt set skrive masse kritisk data
448,det giver mening at folkepensionsalderen følger udviklingen i levetiden det giver også mening at vi har en seniorførtidspensionordning det er en dårlig ide at give specielle faggrupper der har været på arbejdsmarkedet i bestemt tid en særret alt for bureaukratisk dkpol,negative,giver mening folkepensionsalderen følger udviklingen levetiden giver mening seniorførtidspensionordning dårlig ide give specielle faggrupper arbejdsmarkedet bestemt tid særret bureaukratisk dkpol
449,lad os høre hvad du mener bidrag til årets tilskuerundersøgelse i og hjælp os med at gøre det hele lidt bedre fcm fcmlive sldk link,neutral,høre mener bidrag årets tilskuerundersøgelse hjælp hele bedre fcm fcmlive sldk
450,selv hvis du har ret thomas hvilket jeg godt kan forestille mig er der jo ingen grund til at blive nedladende dårlig stil ikke godt for folkestyret og respekten for det,negative,ret thomas hvilket forestille grund nedladende dårlig stil folkestyret respekten
451,michael det er ligesom når jeg vil blande mig i dit job og fortælle at jeg måske har en løsning på multiresistens hvad jeg måske har efter i år amatør studeren det ville du nok bortfeje da du har en lang uddannelse med dig den samme reaktion for man med en læge diskussion,negative,michael blande job fortælle løsning multiresistens år amatør studeren bortfeje lang uddannelse reaktion læge diskussion
452,det har været en kæmpe fornøjelse morten du er dygtig og utrolig behagelig at arbejde sammen med god vind fremover det kommer til at gå godt,positive,kæmpe fornøjelse morten dygtig utrolig behagelig arbejde vind fremover gå
453,absolutely stunning,positive,absolutely stunning
454,uvm dk fire ud af de fem regioner har oplevet en stigning i andelen af elever der søger en erhvervsuddannelse højdespringeren er region nordjylland der ligger procentpoint højere end sidste år godt gået uddpol dkpol eud link,positive,uvm dk regioner oplevet stigning andelen elever søger erhvervsuddannelse højdespringeren region nordjylland ligger procentpoint højere sidste år gået uddpol dkpol eud
455,kære twitterhjerne hvem finansierer dkpol dkbiz,negative,kære twitterhjerne finansierer dkpol dkbiz
456,mere krævende prøver er en af ambitionerne i punktsplan for en bedre læreruddannelse uddpol phudd lærerudd link,positive,krævende prøver ambitionerne punktsplan bedre læreruddannelse uddpol phudd lærerudd
457,behandlingstilbud men det er urokkeligt meget bedre end at ligge i et helt mørkt rum afsondret fra omverdenen fordi en patientforening mener at det er det bedste politik for sig og lægevidenskab for sig,neutral,behandlingstilbud urokkeligt bedre ligge mørkt rum afsondret omverdenen patientforening mener bedste politik lægevidenskab
458,rygning hvorfor skal staten have lov til at tjene mere på cigaretterne de snakker om at doble prisen argumentet for tiden er det koster hospitalsvæsenet altså vi skal alle betale men feks alle de sports skader som sportsudøver får det koster også samfundet og hvad med bil osen,negative,rygning staten lov tjene cigaretterne snakker doble prisen argumentet tiden koster hospitalsvæsenet altså betale feks sports skader sportsudøver koster samfundet bil osen
459,jeg bor i sønderjylland hvor indvandre har gået på motorvejene og går på markerne jeg har oplevet problemet jeg mener bare ikke at det er løsningen at sende dem ud pågrund af deres hudfarve eller navnet på deres gud,neutral,bor sønderjylland indvandre gået motorvejene går markerne oplevet problemet mener løsningen sende pågrund hudfarve navnet gud
460,visitationszonen i aarhus ophører til midnat vi vurderer at der fortsat er en konflikt og fortsætter vores indsats mod banderne vi finder p t få våben og vurderer at zonen ikke længere har samme effekt politidk anklager link link,neutral,visitationszonen aarhus ophører midnat vurderer fortsat konflikt fortsætter indsats banderne finder p t våben vurderer zonen effekt politidk anklager
461,det er det da heller ikke men det hænger jo sammen,neutral,hænger
462,nu er det ikke danskerne ytringsfrihed der er truet kristian men blote en tosse der er et skridt længere til højre end dig et skridt mere fremmedfjendsk end dig det er dig og dine der med jeres sprogbrug har ladet arsenikken dryppe læs klemperes ltf og accepter dit ansvar,negative,danskerne ytringsfrihed truet kristian blote tosse skridt højre skridt fremmedfjendsk sprogbrug ladet arsenikken dryppe læs klemperes ltf accepter ansvar
463,rt god orientering tak for det link,positive,orientering tak
464,en pula coleseum link,positive,pula coleseum
465,der skal ikke være nogen lovbestemt mindsteløn det vil meget hurtigt blive til en eu bestemt mindsteløn og det ville brede sig ud over det hele og snart vil vi have franske forhold dsb melder sig i en privat arbejdsgiverforening med interesse for at privatisere dsb politisering,negative,lovbestemt mindsteløn hurtigt eu bestemt mindsteløn brede hele snart franske forhold dsb melder privat arbejdsgiverforening interesse privatisere dsb politisering
